file	location	id	asserted_label	actual_label	matches	is_obsolete	replaced_by	consider
STAT5A.md	primary_functions[1].processes[1].term	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	positive regulation of peptidyl-tyrosine phosphorylation	Yes	Yes		
STAT5A.md	primary_functions[1].roles[0].term	GO:0043066	negative regulation of apoptotic process	negative regulation of apoptotic process	Yes	Yes		
STAT5A.md	phenotypes[0].effects[0].term	HP:0000144	Decreased fertility	Decreased fertility	Yes	Yes		
STAT5A.md	phenotypes[0].effects[1].term	HP:0100783	Breast aplasia	Breast aplasia	Yes	Yes		
STAT5A.md	phenotypes[0].effects[2].term	HP:0001510	Growth delay	Growth delay	Yes	Yes		
STAT5A.md	phenotypes[0].effects[3].term	HP:0001903	Anemia	Anemia	Yes	Yes		
STAT5A.md	phenotypes[1].effects[0].term	MONDO:0020076	myeloproliferative neoplasm	myeloproliferative neoplasm	Yes	Yes		
STAT5A.md	phenotypes[1].effects[1].term	MONDO:0004967	acute lymphoblastic leukemia	acute lymphoblastic leukemia	Yes	Yes		
STAT5A.md	phenotypes[1].effects[2].term	MONDO:0011996	chronic myeloid leukemia	chronic myelogenous leukemia, BCR-ABL1 positive	No	Yes		
TYK2.md	primary_functions[0].activity.term	GO:0004713	protein tyrosine kinase activity	protein tyrosine kinase activity	Yes	Yes		
TYK2.md	primary_functions[0].location.term	GO:0005737	cytoplasm	cytoplasm	Yes	Yes		
TYK2.md	primary_functions[0].upstream[0].term	GO:0004896	cytokine receptor activity	cytokine receptor activity	Yes	Yes		
TYK2.md	primary_functions[0].downstream[0].term	GO:0006468	protein phosphorylation	protein phosphorylation	Yes	Yes		
TYK2.md	primary_functions[0].processes[0].term	GO:0060337	type I interferon-mediated signaling pathway	type I interferon-mediated signaling pathway	Yes	Yes		
TYK2.md	primary_functions[0].processes[1].term	GO:0035722	interleukin-12-mediated signaling pathway	interleukin-12-mediated signaling pathway	Yes	Yes		
TYK2.md	primary_functions[0].processes[2].term	GO:0070757	interleukin-23-mediated signaling pathway	interleukin-35-mediated signaling pathway	No	Yes		
TYK2.md	primary_functions[1].activity.term	GO:0051607	defense response to virus	defense response to virus	Yes	Yes		
TYK2.md	primary_functions[1].processes[0].term	GO:0002376	immune system process	immune system process	Yes	Yes		
TYK2.md	primary_functions[1].processes[0].is_any_of[0].term	GO:0045087	innate immune response	innate immune response	Yes	Yes		
TYK2.md	primary_functions[1].processes[0].is_any_of[1].term	GO:0002250	adaptive immune response	adaptive immune response	Yes	Yes		
TYK2.md	primary_functions[1].roles[0].term	GO:0042088	T-helper 1 type immune response	T-helper 1 type immune response	Yes	Yes		
TYK2.md	primary_functions[1].roles[1].term	GO:0072539	T-helper 17 cell differentiation	T-helper 17 cell differentiation	Yes	Yes		
TYK2.md	phenotypes[0].effects[0].term	MONDO:0019106	primary immunodeficiency disease	obsolete disseminated peritoneal leiomyomatosis	No	Yes		
TYK2.md	phenotypes[0].effects[1].term	HP:0032251	Increased susceptibility to mycobacterial infections	Abnormal immune system morphology	No	Yes		
TYK2.md	phenotypes[0].effects[2].term	HP:0002719	Recurrent infections	Recurrent infections	Yes	Yes		
TYK2.md	phenotypes[0].effects[3].term	HP:0003212	Increased circulating IgE level	Increased circulating IgE concentration	No	Yes		
TYK2.md	phenotypes[0].effects[4].term	HP:0002719	Recurrent infections	Recurrent infections	Yes	Yes		
TYK2.md	phenotypes[1].effects[0].term	HP:0002960	Autoimmunity	Autoimmunity	Yes	Yes		
TYK2.md	phenotypes[1].effects[1].term	HP:0032263	Tuberculosis susceptibility	Increased blood pressure	No	Yes		
TYK2.md	phenotypes[2].effects[0].term	MONDO:0004963	T-cell acute lymphoblastic leukemia	T-cell acute lymphoblastic leukemia	Yes	Yes		
TYK2.md	phenotypes[2].effects[1].term	MONDO:0004967	B-cell acute lymphoblastic leukemia	acute lymphoblastic leukemia	No	Yes		
DKK1.md	primary_functions[0].activity.term	GO:0030178	negative regulation of Wnt signaling pathway	negative regulation of Wnt signaling pathway	Yes	Yes		
DKK1.md	primary_functions[0].location.term	GO:0005576	extracellular region	extracellular region	Yes	Yes		
DKK1.md	primary_functions[0].complex.term	GO:1904702	negative regulation of Wnt-Frizzled-LRP5/6 complex assembly	regulation of protein localization to adherens junction	No	Yes		
DKK1.md	primary_functions[0].upstream[0].term	GO:0038024	cargo receptor activity	cargo receptor activity	Yes	Yes		
DKK1.md	primary_functions[0].upstream[1].term	GO:0042803	protein homodimerization activity	protein homodimerization activity	Yes	Yes		
DKK1.md	primary_functions[0].downstream[0].term	GO:0090090	negative regulation of canonical Wnt signaling pathway	negative regulation of canonical Wnt signaling pathway	Yes	Yes		
DKK1.md	primary_functions[0].downstream[1].term	GO:0031623	receptor internalization	receptor internalization	Yes	Yes		
DKK1.md	primary_functions[0].processes[0].term	GO:0060323	head morphogenesis	head morphogenesis	Yes	Yes		
DKK1.md	primary_functions[0].processes[1].term	GO:0030282	bone mineralization	bone mineralization	Yes	Yes		
DKK1.md	primary_functions[0].processes[2].term	GO:0045668	negative regulation of osteoblast differentiation	negative regulation of osteoblast differentiation	Yes	Yes		
DKK1.md	primary_functions[0].roles[0].term	GO:0030547	signaling receptor inhibitor activity	signaling receptor inhibitor activity	Yes	Yes		
DKK1.md	primary_functions[1].activity.term	GO:0045124	regulation of bone resorption	regulation of bone resorption	Yes	Yes		
DKK1.md	primary_functions[1].location.term	GO:0001591	dopamine neuron	dopamine neurotransmitter receptor activity, coupled via Gi/Go	No	Yes		
DKK1.md	primary_functions[1].processes[0].term	GO:0045780	positive regulation of bone resorption	positive regulation of bone resorption	Yes	Yes		
DKK1.md	primary_functions[1].processes[1].term	GO:0045671	negative regulation of osteoclast differentiation	negative regulation of osteoclast differentiation	Yes	Yes		
DKK1.md	primary_functions[1].processes[2].term	GO:0001503	ossification	ossification	Yes	Yes		
DKK1.md	primary_functions[1].roles[0].term	GO:0070412	R-SMAD binding	R-SMAD binding	Yes	Yes		
DKK1.md	primary_functions[2].activity.term	GO:0008283	cell population proliferation	cell population proliferation	Yes	Yes		
DKK1.md	primary_functions[2].location.term	GO:0005615	extracellular space	extracellular space	Yes	Yes		
DKK1.md	primary_functions[2].processes[0].term	GO:0001525	angiogenesis	angiogenesis	Yes	Yes		
DKK1.md	primary_functions[2].processes[1].term	GO:0007162	negative regulation of cell adhesion	negative regulation of cell adhesion	Yes	Yes		
DKK1.md	primary_functions[2].processes[2].term	GO:0043065	positive regulation of apoptotic process	positive regulation of apoptotic process	Yes	Yes		
DKK1.md	primary_functions[2].roles[0].term	GO:0005125	cytokine activity	cytokine activity	Yes	Yes		
DKK1.md	primary_functions[3].activity.term	GO:0090263	positive regulation of canonical Wnt signaling pathway	positive regulation of canonical Wnt signaling pathway	Yes	Yes		
DKK1.md	primary_functions[3].processes[0].term	GO:0060173	limb development	limb development	Yes	Yes		
DKK1.md	primary_functions[3].processes[1].term	GO:0048762	mesenchymal cell differentiation	mesenchymal cell differentiation	Yes	Yes		
DKK1.md	primary_functions[3].processes[2].term	GO:0048568	embryonic organ development	embryonic organ development	Yes	Yes		
DKK1.md	phenotypes[0].effects[0].term	HP:0000238	Hydrocephalus	Hydrocephalus	Yes	Yes		
DKK1.md	phenotypes[0].effects[1].term	HP:0001363	Craniosynostosis	Craniosynostosis	Yes	Yes		
DKK1.md	phenotypes[0].effects[2].term	HP:0000347	Micrognathia	Micrognathia	Yes	Yes		
DKK1.md	phenotypes[0].effects[3].term	MONDO:0019508	Dickkopf-related developmental anomaly	van der Woude syndrome	No	Yes		
DKK1.md	phenotypes[1].effects[0].term	HP:0002797	Osteolysis	Osteolysis	Yes	Yes		
DKK1.md	phenotypes[1].effects[1].term	HP:0002653	Bone pain	Bone pain	Yes	Yes		
DKK1.md	phenotypes[1].effects[2].term	MONDO:0009693	Multiple myeloma	plasma cell myeloma	No	Yes		
DKK1.md	phenotypes[1].effects[3].term	HP:0030731	Carcinoma	Carcinoma	Yes	Yes		
DKK1.md	phenotypes[2].effects[0].term	HP:0000939	Osteoporosis	Osteoporosis	Yes	Yes		
DKK1.md	phenotypes[2].effects[1].term	HP:0002659	Increased susceptibility to fractures	Increased susceptibility to fractures	Yes	Yes		
FZD1.md	primary_functions[0].activity.term	GO:0017147	Wnt-protein binding	Wnt-protein binding	Yes	Yes		
FZD1.md	primary_functions[0].location.term	GO:0005886	plasma membrane	plasma membrane	Yes	Yes		
FZD1.md	primary_functions[0].complex.term	GO:1990851	Wnt signalosome	Wnt-Frizzled-LRP5/6 complex	No	Yes		
FZD1.md	primary_functions[0].upstream[0].term	GO:0005102	signaling receptor binding	signaling receptor binding	Yes	Yes		
FZD1.md	primary_functions[0].downstream[0].term	GO:0060071	Wnt signaling pathway, planar cell polarity pathway	Wnt signaling pathway, planar cell polarity pathway	Yes	Yes		
FZD1.md	primary_functions[0].downstream[1].term	GO:0090263	positive regulation of canonical Wnt signaling pathway	positive regulation of canonical Wnt signaling pathway	Yes	Yes		
FZD1.md	primary_functions[0].processes[0].term	GO:0060070	canonical Wnt signaling pathway	canonical Wnt signaling pathway	Yes	Yes		
FZD1.md	primary_functions[0].processes[1].term	GO:0007166	cell surface receptor signaling pathway	cell surface receptor signaling pathway	Yes	Yes		
FZD1.md	primary_functions[0].processes[2].term	GO:0016055	Wnt signaling pathway	Wnt signaling pathway	Yes	Yes		
FZD1.md	primary_functions[0].roles[0].term	GO:0004888	transmembrane signaling receptor activity	transmembrane signaling receptor activity	Yes	Yes		
FZD1.md	primary_functions[1].activity.term	GO:0019901	protein kinase binding	protein kinase binding	Yes	Yes		
FZD1.md	primary_functions[1].location.term	GO:0043234	protein-containing complex	[Term not found]	No	No		
FZD1.md	primary_functions[1].upstream[0].term	GO:0051434	BH3 domain binding	BH3 domain binding	Yes	Yes		
FZD1.md	primary_functions[1].downstream[0].term	GO:1904886	beta-catenin destruction complex disassembly	beta-catenin destruction complex disassembly	Yes	Yes		
FZD1.md	primary_functions[1].processes[0].term	GO:0090090	negative regulation of canonical Wnt signaling pathway	negative regulation of canonical Wnt signaling pathway	Yes	Yes		
FZD1.md	primary_functions[1].roles[0].term	GO:0005109	frizzled binding	frizzled binding	Yes	Yes		
FZD1.md	primary_functions[2].activity.term	GO:0004930	G protein-coupled receptor activity	G protein-coupled receptor activity	Yes	Yes		
FZD1.md	primary_functions[2].location.term	GO:0043235	receptor complex	receptor complex	Yes	Yes		
FZD1.md	primary_functions[2].downstream[0].term	GO:0007186	G protein-coupled receptor signaling pathway	G protein-coupled receptor signaling pathway	Yes	Yes		
FZD1.md	primary_functions[2].downstream[1].term	GO:0051928	positive regulation of calcium ion transport	positive regulation of calcium ion transport	Yes	Yes		
FZD1.md	primary_functions[2].processes[0].term	GO:0035567	non-canonical Wnt signaling pathway	non-canonical Wnt signaling pathway	Yes	Yes		
FZD1.md	primary_functions[2].processes[1].term	GO:0060071	Wnt signaling pathway, planar cell polarity pathway	Wnt signaling pathway, planar cell polarity pathway	Yes	Yes		
FZD1.md	primary_functions[2].roles[0].term	GO:0004930	G protein-coupled receptor activity	G protein-coupled receptor activity	Yes	Yes		
FZD1.md	primary_functions[3].activity.term	GO:0090176	microtubule cytoskeleton organization involved in establishment of planar polarity	microtubule cytoskeleton organization involved in establishment of planar polarity	Yes	Yes		
FZD1.md	primary_functions[3].upstream[0].term	GO:0042813	Wnt receptor signaling pathway involved in cell fate specification	Wnt receptor activity	No	Yes		
FZD1.md	primary_functions[3].downstream[0].term	GO:0032956	regulation of actin cytoskeleton organization	regulation of actin cytoskeleton organization	Yes	Yes		
FZD1.md	primary_functions[3].downstream[1].term	GO:0043507	positive regulation of JUN kinase activity	positive regulation of JUN kinase activity	Yes	Yes		
FZD1.md	primary_functions[3].processes[0].term	GO:0001736	establishment of planar polarity	establishment of planar polarity	Yes	Yes		
FZD1.md	primary_functions[3].processes[1].term	GO:0090179	planar cell polarity pathway involved in neural tube closure	obsolete planar cell polarity pathway involved in neural tube closure	No	Yes		
FZD1.md	primary_functions[3].roles[0].term	GO:0090176	microtubule cytoskeleton organization involved in establishment of planar polarity	microtubule cytoskeleton organization involved in establishment of planar polarity	Yes	Yes		
FZD1.md	phenotypes[0].effects[0].term	HP:0003003	Colon cancer	Colon cancer	Yes	Yes		
FZD1.md	phenotypes[0].effects[1].term	HP:0100013	Neoplasm of the breast	Neoplasm of the breast	Yes	Yes		
FZD1.md	phenotypes[0].effects[2].term	HP:0002861	Melanoma	Melanoma	Yes	Yes		
FZD1.md	phenotypes[0].effects[3].term	MONDO:0005575	Colorectal cancer	colorectal cancer	Yes	Yes		
FZD1.md	phenotypes[0].effects[4].term	MONDO:0007254	Breast cancer	breast cancer	Yes	Yes		
FZD1.md	phenotypes[1].effects[0].term	HP:0001627	Abnormal heart morphology	Abnormal heart morphology	Yes	Yes		
FZD1.md	phenotypes[1].effects[1].term	HP:0000924	Abnormality of the skeletal system	Abnormality of the skeletal system	Yes	Yes		
FZD1.md	phenotypes[1].effects[2].term	HP:0002011	Morphological central nervous system abnormality	Morphological central nervous system abnormality	Yes	Yes		
FZD1.md	phenotypes[1].effects[3].term	MONDO:0019391	Tetra-amelia syndrome	Fanconi anemia	No	Yes		
FZD1.md	phenotypes[2].effects[0].term	HP:0000939	Osteoporosis	Osteoporosis	Yes	Yes		
FZD1.md	phenotypes[2].effects[1].term	MONDO:0005148	Type 2 diabetes mellitus	type 2 diabetes mellitus	Yes	Yes		
FZD1.md	phenotypes[3].effects[0].term	HP:0001511	Intrauterine growth retardation	Intrauterine growth retardation	Yes	Yes		
FZD1.md	phenotypes[3].effects[1].term	HP:0000238	Hydrocephalus	Hydrocephalus	Yes	Yes		
STAT6.md	primary_functions[0].activity.term	GO:0003700	DNA-binding transcription factor activity	DNA-binding transcription factor activity	Yes	Yes		
STAT6.md	primary_functions[0].location.term	GO:0005634	nucleus	nucleus	Yes	Yes		
STAT6.md	primary_functions[0].upstream[0].term	GO:0038094	interleukin-4-mediated signaling pathway	Fc-gamma receptor signaling pathway	No	Yes		
STAT6.md	primary_functions[0].upstream[1].term	GO:0038095	interleukin-13-mediated signaling pathway	Fc-epsilon receptor signaling pathway	No	Yes		
STAT6.md	primary_functions[0].downstream[0].term	GO:0045944	positive regulation of transcription by RNA polymerase II	positive regulation of transcription by RNA polymerase II	Yes	Yes		
STAT6.md	primary_functions[0].processes[0].term	GO:0042092	type 2 immune response	type 2 immune response	Yes	Yes		
STAT6.md	primary_functions[0].processes[1].term	GO:0045064	T-helper 2 cell differentiation	T-helper 2 cell differentiation	Yes	Yes		
STAT6.md	primary_functions[1].activity.term	GO:0016446	somatic hypermutation of immunoglobulin genes	somatic hypermutation of immunoglobulin genes	Yes	Yes		
STAT6.md	primary_functions[1].processes[0].term	GO:0048289	isotype switching to IgE	isotype switching to IgE isotypes	No	Yes		
STAT6.md	primary_functions[1].processes[1].term	GO:0048291	isotype switching to IgG1	isotype switching to IgG isotypes	No	Yes		
STAT6.md	primary_functions[1].roles[0].term	GO:0043372	positive regulation of CD4+ T cell differentiation	positive regulation of CD4-positive, alpha-beta T cell differentiation	No	Yes		
STAT6.md	primary_functions[1].roles[1].term	GO:0002230	positive regulation of defense response to virus	positive regulation of defense response to virus by host	No	Yes		
STAT6.md	phenotypes[0].effects[0].term	HP:0005374	Abnormality of cellular immune system	Cellular immunodeficiency	No	Yes		
STAT6.md	phenotypes[0].effects[1].term	HP:0410242	Decreased circulating IgE level	Abnormal circulating IgG concentration	No	Yes		
STAT6.md	phenotypes[0].effects[2].term	HP:0012384	Rhinitis	Rhinitis	Yes	Yes		
STAT6.md	phenotypes[0].effects[3].term	HP:0002719	Recurrent infections	Recurrent infections	Yes	Yes		
STAT6.md	phenotypes[1].effects[0].term	MONDO:0005271	allergic disease	allergic disease	Yes	Yes		
STAT6.md	phenotypes[1].effects[1].term	MONDO:0011292	atopic dermatitis	obsolete dermatitis, atopic	No	Yes		
STAT6.md	phenotypes[1].effects[2].term	MONDO:0004979	asthma	asthma	Yes	Yes		
STAT6.md	phenotypes[1].effects[3].term	HP:0003212	Increased circulating IgE level	Increased circulating IgE concentration	No	Yes		
CTNNB1.md	primary_functions[0].activity.term	GO:0045296	cadherin binding	cadherin binding	Yes	Yes		
CTNNB1.md	primary_functions[0].location.term	GO:0005912	adherens junction	adherens junction	Yes	Yes		
CTNNB1.md	primary_functions[0].complex.term	GO:0016342	catenin complex	catenin complex	Yes	Yes		
CTNNB1.md	primary_functions[0].upstream[0].term	GO:0004674	protein serine/threonine kinase activity	protein serine/threonine kinase activity	Yes	Yes		
CTNNB1.md	primary_functions[0].downstream[0].term	GO:0051015	actin filament binding	actin filament binding	Yes	Yes		
CTNNB1.md	primary_functions[0].processes[0].term	GO:0034333	adherens junction assembly	adherens junction assembly	Yes	Yes		
CTNNB1.md	primary_functions[0].processes[1].term	GO:0034334	adherens junction maintenance	adherens junction maintenance	Yes	Yes		
CTNNB1.md	primary_functions[0].processes[2].term	GO:0098609	cell-cell adhesion	cell-cell adhesion	Yes	Yes		
CTNNB1.md	primary_functions[0].roles[0].term	GO:0007155	cell adhesion	cell adhesion	Yes	Yes		
CTNNB1.md	primary_functions[1].activity.term	GO:0003713	transcription coactivator activity	transcription coactivator activity	Yes	Yes		
CTNNB1.md	primary_functions[1].location.term	GO:0005634	nucleus	nucleus	Yes	Yes		
CTNNB1.md	primary_functions[1].complex.term	GO:1990907	beta-catenin-TCF complex	beta-catenin-TCF complex	Yes	Yes		
CTNNB1.md	primary_functions[1].upstream[0].term	GO:0016055	Wnt signaling pathway	Wnt signaling pathway	Yes	Yes		
CTNNB1.md	primary_functions[1].upstream[1].term	GO:0004674	protein serine/threonine kinase activity	protein serine/threonine kinase activity	Yes	Yes		
CTNNB1.md	primary_functions[1].upstream[2].term	GO:0061630	ubiquitin protein ligase activity	ubiquitin protein ligase activity	Yes	Yes		
CTNNB1.md	primary_functions[1].downstream[0].term	GO:0006357	regulation of transcription by RNA polymerase II	regulation of transcription by RNA polymerase II	Yes	Yes		
CTNNB1.md	primary_functions[1].downstream[1].term	GO:0045944	positive regulation of transcription by RNA polymerase II	positive regulation of transcription by RNA polymerase II	Yes	Yes		
CTNNB1.md	primary_functions[1].processes[0].term	GO:0060070	canonical Wnt signaling pathway	canonical Wnt signaling pathway	Yes	Yes		
CTNNB1.md	primary_functions[1].processes[1].term	GO:0045893	positive regulation of DNA-templated transcription	positive regulation of DNA-templated transcription	Yes	Yes		
CTNNB1.md	primary_functions[1].processes[2].term	GO:0008283	cell population proliferation	cell population proliferation	Yes	Yes		
CTNNB1.md	primary_functions[1].roles[0].term	GO:0090263	positive regulation of canonical Wnt signaling pathway	positive regulation of canonical Wnt signaling pathway	Yes	Yes		
CTNNB1.md	phenotypes[0].effects[0].term	HP:0100242	Sarcoma	Sarcoma	Yes	Yes		
CTNNB1.md	phenotypes[0].effects[1].term	HP:0003003	Colon cancer	Colon cancer	Yes	Yes		
CTNNB1.md	phenotypes[0].effects[2].term	HP:0002896	Neoplasm of the liver	Neoplasm of the liver	Yes	Yes		
CTNNB1.md	phenotypes[1].effects[0].term	HP:0001399	Hepatic failure	Hepatic failure	Yes	Yes		
CTNNB1.md	phenotypes[1].effects[1].term	HP:0002300	Mutism	Mutism	Yes	Yes		
CTNNB1.md	phenotypes[1].effects[2].term	HP:0001249	Intellectual disability	Intellectual disability	Yes	Yes		
STAT2.md	primary_functions[0].activity.term	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	DNA-binding transcription factor activity, RNA polymerase II-specific	Yes	Yes		
STAT2.md	primary_functions[0].location.term	GO:0005634	nucleus	nucleus	Yes	Yes		
STAT2.md	primary_functions[0].complex.term	GO:0070721	ISGF3 complex	ISGF3 complex	Yes	Yes		
STAT2.md	primary_functions[0].upstream[0].term	GO:0042976	activation of Janus kinase activity	activation of Janus kinase activity	Yes	Yes		
STAT2.md	primary_functions[0].downstream[0].term	GO:0045944	positive regulation of transcription by RNA polymerase II	positive regulation of transcription by RNA polymerase II	Yes	Yes		
STAT2.md	primary_functions[0].processes[0].term	GO:0071357	cellular response to type I interferon	cellular response to type I interferon	Yes	Yes		
STAT2.md	primary_functions[0].processes[1].term	GO:0035455	response to interferon-alpha	response to interferon-alpha	Yes	Yes		
STAT2.md	primary_functions[0].processes[2].term	GO:0035456	response to interferon-beta	response to interferon-beta	Yes	Yes		
STAT2.md	primary_functions[0].processes[3].term	GO:0140374	antiviral innate immune response	antiviral innate immune response	Yes	Yes		
STAT2.md	primary_functions[0].roles[0].term	GO:0046982	protein heterodimerization activity	protein heterodimerization activity	Yes	Yes		
STAT2.md	primary_functions[0].roles[1].term	GO:0005126	cytokine receptor binding	cytokine receptor binding	Yes	Yes		
STAT2.md	phenotypes[0].effects[0].term	HP:0002719	Recurrent infections	Recurrent infections	Yes	Yes		
STAT2.md	phenotypes[0].effects[1].term	MONDO:0014715	primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection	primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection	Yes	Yes		
STAT2.md	phenotypes[0].effects[2].term	HP:0002721	Immunodeficiency	Immunodeficiency	Yes	Yes		
STAT2.md	phenotypes[0].effects[3].term	HP:0001945	Fever	Fever	Yes	Yes		
SOCS1.md	primary_functions[0].activity.term	GO:0061630	ubiquitin protein ligase activity	ubiquitin protein ligase activity	Yes	Yes		
SOCS1.md	primary_functions[0].location.term	GO:0005737	cytoplasm	cytoplasm	Yes	Yes		
SOCS1.md	primary_functions[0].upstream[0].term	GO:0019221	cytokine-mediated signaling pathway	cytokine-mediated signaling pathway	Yes	Yes		
SOCS1.md	primary_functions[0].downstream[0].term	GO:0016567	protein ubiquitination	protein ubiquitination	Yes	Yes		
SOCS1.md	primary_functions[0].processes[0].term	GO:0046426	negative regulation of receptor signaling pathway via JAK-STAT	negative regulation of receptor signaling pathway via JAK-STAT	Yes	Yes		
SOCS1.md	primary_functions[0].processes[1].term	GO:0001960	negative regulation of cytokine-mediated signaling pathway	negative regulation of cytokine-mediated signaling pathway	Yes	Yes		
SOCS1.md	primary_functions[0].processes[2].term	GO:0060337	type I interferon-mediated signaling pathway	type I interferon-mediated signaling pathway	Yes	Yes		
SOCS1.md	primary_functions[0].processes[3].term	GO:0060333	type II interferon-mediated signaling pathway	type II interferon-mediated signaling pathway	Yes	Yes		
SOCS1.md	primary_functions[0].roles[0].term	GO:0097678	SOCS family protein binding	SOCS family protein binding	Yes	Yes		
SOCS1.md	primary_functions[0].roles[1].term	GO:0042169	SH2 domain binding	SH2 domain binding	Yes	Yes		
